,Time [s],H,H2,O,O2,OH,H2O,N2,HO2,H2O2,AR,HE,CO,CO2,CH2O,HCO,HOCHO,OCHO,HOCH2O,CH3OH,CH2OH,CH3O,CH3O2H,CH3O2,CH4,CH3,CH2,CH2(S),C,CH,HOCO,HCOH,C2H6,C2H5,C2H4,C2H3,C2H2,C2H,CH3CHO,CH3CO,CH2CHO,CH2CO,HCCO,H2CC,C2O,HCCOH,CH3CO3H,CH3CO3,CH3CO2,C2H5OH,C2H5O,CH2CH2OH,CH3CHOH,O2C2H4OH,C2H5O2H,C2H5O2,C2H4O2H,C2H4O(1),C2H3O(2),CH2CHOH,CH3OCHO,CH2OCHO,CH3OCO,C2H5OCHO,C2H5OCO,CH2CH2OCHO,CH3CHOCHO,OH*,CH*,KR,CH4^+,CH3^+,CH2^+,O2(A1),O2(B1),O2(4.5EV),O(1D),O(1S),O2^+,O^+,O3,HE(SINGLET),HE^+,E
0,0.0,64262600000000.0,8957200000000.0,504585700000000.0,-624526800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-70580000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128525200000000.0,2239300000000.0,2239300000000.0,0.0,2239300000000.0,2239300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59784000000000.0,59784000000000.0,0.0,30951000000000.0,8035100000000.0,17235000000000.0,386940000000000.0,4505700000000.0,120290000000000.0,0.0,0.0,42011000000000.0,28569000000000.0,268427000000000.0
1,1e-10,84285561970045.3,11772201760000.0,661783851106206.2,-820108597836915.2,813770000000.0,0.0,0.0,1.9339000000000002e-17,0.0,0.0,-90761892139999.86,0.0,0.0,54011000000.0,0.0,0.0,0.0,0.0,0.0,216050000000.0,0.0,0.0,0.0,-168109859860000.0,3743070000008.926,2929300000027.447,0.0,2929300000000.0,2929736870000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77097362999982.16,78210475099981.48,553889999.9999489,40502797004584.92,10986469285276.3,22541867645254.0,504466443740006.56,5893958853000.271,158903520739993.3,1119758260000.144,14454800.00000433,54545331139999.82,36216561000000.01,351548231989957.1
2,2e-10,110509576700136.25,15458348600000.0,867619872426019.4,-1076180298356556.2,1875300000000.0,0.0,0.0,4.4649e-17,0.0,0.0,-117239614399999.11,0.0,0.0,124470000000.0,0.0,0.0,0.0,0.0,0.0,497880000000.0,0.0,0.0,0.0,-219969894600000.0,5708200000026.771,3832900000082.713,0.0,3832900000000.0,3833904700000.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99793473999946.47,102344891999944.06,1273899999.9997065,53012102452892.086,14848768160857.291,29492770028806.996,658397188715019.9,7712105020000.826,209440658039979.75,2545082960000.7646,33409000.000023082,70964825399999.1,46274789000000.016,460400169899871.0
3,3e-10,144846075200309.47,20285625600000.0,1137142053575043.5,-1411474526894945.0,3261500000000.0,0.0,0.0,7.7779e-17,0.0,0.0,-151964007399997.25,0.0,0.0,216470000000.0,0.0,0.0,0.0,0.0,0.0,865880000000.0,0.0,0.0,0.0,-287888562600000.0,8277800000060.642,5016300000188.161,0.0,5016300000000.0,5018044200000.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129529705999878.72,133945850999872.48,2211399999.999047,69394311940023.945,19905634317338.926,38595408372581.984,860002453013045.0,10092834577001.885,275602498599953.53,4371981400002.3086,58255000.00007003,92474387399997.2,59489620000000.055,602941868399707.1
4,4e-10,189821950400628.78,26607622300000.0,1490105649433089.5,-1850546519711167.8,5072700000000.0,0.0,0.0,1.2115e-16,0.0,0.0,-197484367699993.44,0.0,0.0,336680000000.0,0.0,0.0,0.0,0.0,0.0,1346700000000.0,0.0,0.0,0.0,-376867872300000.0,11638900000122.94,6566200000382.921,0.0,6566200000000.0,6568908400000.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168500707999754.12,175340141999740.03,3433899999.997544,90850255062953.27,26524995567354.31,50516390513859.97,1124043064890091.5,13211742360003.854,362233307999905.0,6726332000005.579,90817000.00016993,120650207699993.22,76834160000000.14,789638083899404.9
5,5e-10,248719963001205.38,34886436500000.0,1952254475401172.2,-2425444445310157.0,7440500000000.0,0.0,0.0,1.7793000000000001e-16,0.0,0.0,-257130795499985.78,0.0,0.0,493840000000.0,0.0,0.0,0.0,0.0,0.0,1975400000000.0,0.0,0.0,0.0,-493405594500000.0,16036400000235.18,8595900000734.9795,0.0,8595900000000.0,8599867000000.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219554461999529.62,229548795999500.2,5029499999.99441,118945323571113.66,35191444919952.914,66129204380089.93,1469815382380176.0,17295621660007.426,475654374999816.8,9772575000011.99,133479000.0003665,157540045499985.47,99590750000000.28,1034125987498859.0
6,6e-10,325854375102231.56,45728115100000.0,2557484630363320.0,-3178308810052573.5,10537000000000.0,0.0,0.0,2.5228000000000003e-16,0.0,0.0,-335289764899971.44,0.0,0.0,699390000000.0,0.0,0.0,0.0,0.0,0.0,2797600000000.0,0.0,0.0,0.0,-646041035100000.0,21791000000434.64,11254000001362.33,0.0,11254000000000.0,11259611100000.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286435155999130.75,300543163999072.3,7113999999.988215,155741649907220.6,46539027801741.34,86575179666609.86,1922670674160326.2,22644463630013.816,624172389099659.1,13726800900024.027,189367000.00073665,205868354899970.88,129421410000000.58,1354306033997886.8
7,7.000000000000001e-10,426866080304040.4,59925929200000.0,3350177418087580.0,-4164343098403410.5,14589000000000.0,0.0,0.0,3.4963e-16,0.0,0.0,-437697540799945.44,0.0,0.0,968330000000.0,0.0,0.0,0.0,0.0,0.0,3873300000000.0,0.0,0.0,0.0,-845939729200000.0,29324000000785.7,14735000002469.0,0.0,14735000000000.0,14742760300000.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374036479998428.6,393515019998316.7,9838899999.976402,203935363879191.56,61398694753916.766,113353433617299.72,2515837934710593.0,29648256730025.125,818672824999380.1,18870535000046.02,262593000.00141478,269172900799944.25,168524640000001.06,1773629338896172.8
8,8e-10,559158351007205.6,78524273000000.0,4388200038231039.0,-5455554518776527.0,19892000000000.0,0.0,0.0,4.7711e-16,0.0,0.0,-571846036999898.5,0.0,0.0,1320300000000.0,0.0,0.0,0.0,0.0,0.0,5281100000000.0,0.0,0.0,0.0,-1107757183000000.0,39187000001399.3,19295000004406.902,0.0,19295000000000.0,19305571000000.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488783129997201.4,515276679996992.4,13401999999.954437,267051819490519.6,80857350821824.31,148422818374179.5,3292601916621060.5,38821985800044.96,1073376463998890.1,25573716000085.5,358510000.0026344,352067316999896.4,219778720000002.06,2322802111993171.5
9,9e-10,732411018012715.9,102877212000000.0,5747557477111837.0,-7146411105281925.0,26832000000000.0,0.0,0.0,6.4405e-16,0.0,0.0,-747573227999815.4,0.0,0.0,1780900000000.0,0.0,0.0,0.0,0.0,0.0,7123600000000.0,0.0,0.0,0.0,-1450651972000000.0,52098000002466.6,25266000007782.5,0.0,25266000000000.0,25280248000000.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639077989995066.8,674741169994684.1,18063999999.914333,349708065741859.5,106337351253287.88,194355823076769.06,4309858943871874.0,50835631050079.6,1406854425998034.8,34320874000155.49,484130000.0048,460639527999811.56,286933700000003.75,3041946223987944.5
