       Time_s           01           02           03           04           05
   0.0000E+00   1.8000E+02   2.9600E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-10   1.8000E+02   2.9600E+02   8.6235E+04   7.1889E-07   2.5342E-03
   2.0000E-10   1.8000E+02   2.9600E+02   8.6235E+04   9.4065E-07   3.3159E-03
   3.0000E-10   1.8000E+02   2.9600E+02   8.6235E+04   1.2311E-06   4.3397E-03
   4.0000E-10   1.8000E+02   2.9600E+02   8.6235E+04   1.6115E-06   5.6805E-03
   5.0000E-10   1.8000E+02   2.9600E+02   8.6235E+04   2.1096E-06   7.4365E-03
   6.0000E-10   1.8000E+02   2.9600E+02   8.6235E+04   2.7619E-06   9.7361E-03
   7.0000E-10   1.8000E+02   2.9600E+02   8.6235E+04   3.6163E-06   1.2748E-02
   8.0000E-10   1.8000E+02   2.9600E+02   8.6235E+04   4.7352E-06   1.6692E-02
   9.0000E-10   1.8000E+02   2.9600E+02   8.6235E+04   6.2006E-06   2.1858E-02
   1.0000E-09   1.8000E+02   2.9600E+02   8.6235E+04   8.1196E-06   2.8623E-02
   1.1000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.0633E-05   3.7482E-02
   1.2000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.3924E-05   4.9084E-02
   1.3000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.8235E-05   6.4279E-02
   1.4000E-09   1.8000E+02   2.9600E+02   8.6235E+04   2.3880E-05   8.4178E-02
   1.5000E-09   1.8000E+02   2.9600E+02   8.6235E+04   3.1272E-05   1.1024E-01
   1.6000E-09   1.8000E+02   2.9600E+02   8.6235E+04   4.0954E-05   1.4437E-01
   1.7000E-09   1.8000E+02   2.9600E+02   8.6235E+04   5.3633E-05   1.8906E-01
   1.8000E-09   1.8000E+02   2.9600E+02   8.6235E+04   7.0238E-05   2.4760E-01
   1.9000E-09   1.8000E+02   2.9600E+02   8.6235E+04   9.1984E-05   3.2425E-01
   2.0000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.2046E-04   4.2464E-01
   2.1000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.5776E-04   5.5611E-01
   2.2000E-09   1.8000E+02   2.9600E+02   8.6235E+04   2.0660E-04   7.2829E-01
   2.3000E-09   1.8000E+02   2.9600E+02   8.6235E+04   2.7057E-04   9.5378E-01
   2.4000E-09   1.8000E+02   2.9600E+02   8.6235E+04   3.5434E-04   1.2491E+00
   2.5000E-09   1.8000E+02   2.9600E+02   8.6235E+04   4.6405E-04   1.6358E+00
   2.6000E-09   1.8000E+02   2.9600E+02   8.6235E+04   6.0772E-04   2.1423E+00
   2.7000E-09   1.8000E+02   2.9600E+02   8.6235E+04   7.9588E-04   2.8055E+00
   2.8000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.0423E-03   3.6742E+00
   2.9000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.3650E-03   4.8117E+00
   3.0000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.7876E-03   6.3015E+00
   3.1000E-09   1.8000E+02   2.9600E+02   8.6235E+04   2.3411E-03   8.2526E+00
   3.2000E-09   1.8000E+02   2.9600E+02   8.6235E+04   3.0659E-03   1.0808E+01
   3.3000E-09   1.8000E+02   2.9600E+02   8.6235E+04   4.0152E-03   1.4154E+01
   3.4000E-09   1.8000E+02   2.9600E+02   8.6235E+04   5.2583E-03   1.8536E+01
   3.5000E-09   1.8000E+02   2.9600E+02   8.6235E+04   6.8863E-03   2.4275E+01
   3.6000E-09   1.8000E+02   2.9600E+02   8.6235E+04   9.0184E-03   3.1791E+01
   3.7000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.1811E-02   4.1634E+01
   3.8000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.5467E-02   5.4524E+01
   3.9000E-09   1.8000E+02   2.9600E+02   8.6235E+04   2.0256E-02   7.1406E+01
   4.0000E-09   1.8000E+02   2.9600E+02   8.6235E+04   2.6528E-02   9.3514E+01
   4.1000E-09   1.8000E+02   2.9600E+02   8.6235E+04   3.4741E-02   1.2247E+02
   4.2000E-09   1.8000E+02   2.9600E+02   8.6235E+04   4.5498E-02   1.6038E+02
   4.3000E-09   1.8000E+02   2.9600E+02   8.6235E+04   5.9584E-02   2.1004E+02
   4.4000E-09   1.8000E+02   2.9600E+02   8.6235E+04   7.8032E-02   2.7507E+02
   4.5000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.0219E-01   3.6024E+02
   4.6000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.3383E-01   4.7177E+02
   4.7000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.7527E-01   6.1784E+02
   4.8000E-09   1.8000E+02   2.9600E+02   8.6235E+04   2.2953E-01   8.0913E+02
   4.9000E-09   1.8000E+02   2.9600E+02   8.6235E+04   3.0060E-01   1.0596E+03
   5.0000E-09   1.8000E+02   2.9600E+02   8.6235E+04   3.9367E-01   1.3877E+03
   5.1000E-09   1.8000E+02   2.9600E+02   8.6235E+04   5.1556E-01   1.8174E+03
   5.2000E-09   1.8000E+02   2.9600E+02   8.6235E+04   6.7518E-01   2.3801E+03
   5.3000E-09   1.8000E+02   2.9600E+02   8.6235E+04   8.8422E-01   3.1170E+03
   5.4000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.1580E+00   4.0820E+03
   5.5000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.5165E+00   5.3459E+03
   5.6000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.9861E+00   7.0010E+03
   5.7000E-09   1.8000E+02   2.9600E+02   8.6235E+04   2.6010E+00   9.1686E+03
   5.8000E-09   1.8000E+02   2.9600E+02   8.6235E+04   3.4062E+00   1.2007E+04
   5.9000E-09   1.8000E+02   2.9600E+02   8.6235E+04   4.4608E+00   1.5725E+04
   6.0000E-09   1.8000E+02   2.9600E+02   8.6235E+04   5.8420E+00   2.0594E+04
   6.1000E-09   1.8000E+02   2.9600E+02   8.6235E+04   7.6507E+00   2.6970E+04
   6.2000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.0019E+01   3.5320E+04
   6.3000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.3122E+01   4.6255E+04
   6.4000E-09   1.8000E+02   2.9600E+02   8.6235E+04   1.7184E+01   6.0575E+04
   6.5000E-09   1.8000E+02   2.9600E+02   8.6235E+04   2.2504E+01   7.9330E+04
   6.6000E-09   1.8000E+02   2.9600E+02   8.6235E+04   2.9471E+01   1.0389E+05
   6.7000E-09   1.8000E+02   2.9600E+02   8.6235E+04   3.8596E+01   1.3605E+05
